institution, pre_qual stipend, after_qual stipend, fee, public/private, labels, pre_qual summer, after_qual summer, pre_qual verified, post_qual verified
"Texas A&M University", 27000, 27000, 15, public, summer-gtd, Unknown, Unknown, No, No
"Univ. of California - Los Angeles", 42600, 42600, 180, public, summer-unknown cpt-fee, Unknown, Unknown, No, No
"Duke University", 38600, 38600, 0, private, summer-gtd, 9650, 9650, No, No
"Stevens Institute of Technology", 27392, 34586, 2204, private, summer-no-gtd varies, 0, 4000, Yes, No
"Michigan State University", 30030, 30030, 0, public, summer-no-gtd, 6930, 6930, No, No
"University of Maryland - College Park", 42577, 45730, 2557, public, summer-no-gtd varies cpt-fee, 8870, 9527, Y12 https://github.com/CSStipendRankings/CSStipendRankings/issues/121, Y12 https://github.com/CSStipendRankings/CSStipendRankings/issues/121
"Univ. of California - Berkeley", 52016, 52016, 0, public, summer-partial-gtd=4456, 22280, 22280, No, No
"Toyota Technological Institute at Chicago", 44500, 44500, 0, private, summer-gtd, 11124, 11124, Y12, Y12
"New Jersey Institute of Technology", 46000, 46000, 0, public, summer-gtd, 6000, 6000, Y12 https://github.com/CSStipendRankings/CSStipendRankings/issues/145, Y12 https://github.com/CSStipendRankings/CSStipendRankings/issues/145
"Rochester Institute of Technology", 23000, 23000, 880, private, summer-no-gtd varies, Unknown, Unknown, Yes https://github.com/CSStipendRankings/CSStipendRankings/issues/135, Yes https://github.com/CSStipendRankings/CSStipendRankings/issues/135
"Washington University in St Louis", 38500, 38500, 0, private, summer-gtd, 9625, 9625, Y12 https://github.com/CSStipendRankings/CSStipendRankings/issues/97, Y12 https://github.com/CSStipendRankings/CSStipendRankings/issues/97
"University of Pittsburgh", 30000, 30000, 50, public, summer-gtd, 10000, 10000, No, No
"University of Colorado - Boulder", 43261, 43261, 440, public, summer-no-gtd varies cpt-fee, 10815, 10815, Yes https://github.com/CSStipendRankings/CSStipendRankings/pull/146, Yes https://github.com/CSStipendRankings/CSStipendRankings/pull/146
"University at Buffalo", 29900, 29900, 3300, public, summer-no-gtd, 6900, 6900, No, No
"Georgetown University", 39924, 39924, 0, private, summer-no-gtd cpt-fee, Unknown, Unknown, Yes https://github.com/CSStipendRankings/CSStipendRankings/pull/144, Yes https://github.com/CSStipendRankings/CSStipendRankings/pull/144
"University of Florida", 32000, 32000, 0, public, summer-unknown, Unknown, Unknown, No, No
"University of Tennessee - Knoxville", 35328, 35328, 0, public, summer-gtd, 8832, 8832, Y12 https://github.com/CSStipendRankings/CSStipendRankings/issues/136, Y12 https://github.com/CSStipendRankings/CSStipendRankings/issues/136
"University of Oregon", 23232, 23232, 183, public, summer-no-gtd, Unknown, Unknown, No, No
"University of Minnesota", 32989, 32989, 325, public, summer-no-gtd, 8403, 8403, Yes https://cse.umn.edu/cs/assistantships, Yes https://cse.umn.edu/cs/assistantships
"Kansas State University (CS)", 14400, 14400, 1378, public, summer-no-gtd varies, Unknown, Unknown, No, No
"Vanderbilt University", 40000, 40000, 0, private, summer-gtd, Unknown, Unknown, No, No
"George Mason University", 40000, 40000, 0, public, summer-gtd, 10000, 10000, No, No
